title,author,user_rating,livelib_rating,url,cover,publisher,year,favorite
"От нуля к единице. Как создать стартап, который изменит будущее","Питер Тиль, Блейк Мастерс","4","4","https://www.livelib.ru/book/1004993671","/covers/1004993671.jpg","Альпина Паблишер","2018","false"
"Десять негритят. Рассказы","Агата Кристи","5","4,7","https://www.livelib.ru/book/1000014966","/covers/1000014966.jpg","Центрполиграф","2002","false"
"Пробуждение Левиафана","Джеймс Кори","4","4,3","https://www.livelib.ru/book/1002700593","/covers/1002700593.jpg","Фантастика Книжный Клуб, Fanzon","2017","false"
"11/22/63","Стивен Кинг","3","4,5","https://www.livelib.ru/book/1006202158","/covers/1006202158.jpg","АСТ","2021","false"
"Морфий.  Записки юного  врача","Михаил Булгаков","4","4,6","https://www.livelib.ru/book/1001623396","/covers/1001623396.jpg","Эксмо","2015","false"
"Нажми Reset. Как игровая индустрия рушит карьеры и дает второй шанс","Джейсон Шрейер","4","4,1","https://www.livelib.ru/book/1006728880","/covers/1006728880.jpg","Бомбора","2021","false"
"Дурная кровь","Джон Каррейру","5","4,5","https://www.livelib.ru/book/1003567375","/covers/1003567375.jpg","АСТ, Neoclassic","2019","false"
"Портрет Дориана Грея","Оскар Уайльд","4","4,3","https://www.livelib.ru/book/1001305787","/covers/1001305787.jpg","Эксмо","2016","false"
"Чистый код. Создание, анализ и рефакторинг","Роберт Мартин","5","4,4","https://www.livelib.ru/book/1002868901","/covers/1002868901.jpg","Питер","2018","false"
"Кровь, пот и пиксели. Обратная сторона индустрии видеоигр","Джейсон Шрейер","4","4,3","https://www.livelib.ru/book/1003024343","/covers/1003024343.jpg","Бомбора","2019","false"
"Человек-невидимка","Герберт Уэллс","4","4,1","https://www.livelib.ru/book/1003404421","/covers/1003404421.jpg","Эксмо","2019","false"
"Война миров","Герберт Уэллс, Герберт Д. Уэллс","4","4","https://www.livelib.ru/book/1002706492","/covers/1002706492.jpg","Мартин","2018","false"
"1984. Скотный двор","Джордж Оруэлл","3","4,5","https://www.livelib.ru/book/1006183165","/covers/1006183165.jpg","Эксмо","2021","false"
"Сто лет одиночества","Габриэль Гарсиа Маркес","5","4,1","https://www.livelib.ru/book/1003221869","/covers/1003221869.jpg","АСТ","2019","true"
"Ex Libris. Габриэль Гарсиа Маркес. Собрание сочинений в 6 томах. Том 5. Любовь во время чумы","Габриэль Гарсиа Маркес","4","4,2","https://www.livelib.ru/book/1000329647","/covers/1000329647.jpg","Альянс - Плюс","1998","false"
"Десять негритят","Агата Кристи","5","4,6","https://www.livelib.ru/book/1005556180","/covers/1005556180.jpg","Эксмо","2021","false"
"Записки юного врача","Михаил Булгаков","4","4,7","https://www.livelib.ru/book/1005579736","/covers/1005579736.jpg","Аркадия","2021","false"
"Убить пересмешника","Харпер Ли","3","4,6","https://www.livelib.ru/book/1005931411","/covers/1005931411.jpg","АСТ","2021","false"
"Меч Предназначения","Анджей Сапковский","5","4,6","https://www.livelib.ru/book/1000486798","/covers/1000486798.jpg","АСТ, Астрель, Полиграфиздат","2011","false"
"Кровь эльфов","Анджей Сапковский","5","4,5","https://www.livelib.ru/book/1000018715","/covers/1000018715.jpg","АСТ","2002","false"
"Час Презрения","Анджей Сапковский","4","4,5","https://www.livelib.ru/book/1000018809","/covers/1000018809.jpg","АСТ","2006","false"
"Крещение огнем","Анджей Сапковский","4","4,5","https://www.livelib.ru/book/1000902118","/covers/1000902118.jpg","АСТ","1997","false"
"Башня Ласточки","Анджей Сапковский","4","4,5","https://www.livelib.ru/book/1000207218","/covers/1000207218.jpg","АСТ","1998","false"
"Владычица Озера. Дорога без возврата","Анджей Сапковский","4","4,4","https://www.livelib.ru/book/1000447907","/covers/1000447907.jpg","АСТ, Харвест, АСТ Москва, Хранитель","2008","false"
"Сезон гроз","Анджей Сапковский","3","4,3","https://www.livelib.ru/book/1003020140","/covers/1003020140.jpg","АСТ","2018","false"
"На Западном фронте без перемен","Эрих Мария Ремарк","4","4,6","https://www.livelib.ru/book/1006083226","/covers/1006083226.jpg","АСТ","2021","false"
"Мартин Иден","Джек Лондон","5","4,5","https://www.livelib.ru/book/1005746266","/covers/1005746266.jpg","Эксмо, Like Book","2021","true"
"Убийство в ""Восточном экспрессе""","Агата Кристи","4","4,5","https://www.livelib.ru/book/1006221715","/covers/1006221715.jpg","Эксмо","2021","false"
"Судьба человека","Михаил Шолохов","5","4,6","https://www.livelib.ru/book/1001440002","/covers/1001440002.jpg","Речь","2015","false"
"Зулейха открывает глаза","Гузель Яхина","1","4,4","https://www.livelib.ru/book/1003944406","/covers/1003944406.jpg","АСТ, Редакция Елены Шубиной","2020","false"
"Девушка с татуировкой дракона","Стиг Ларссон","4","4,4","https://www.livelib.ru/book/1003156338","/covers/1003156338.jpg","Эксмо","2019","false"
"Террор","Дэн Симмонс","5","4,4","https://www.livelib.ru/book/1002771451","/covers/1002771451.jpg","Азбука, Азбука-Аттикус","2018","true"
"КлаТбище домашних жЫвотных","Стивен Кинг","5","4,4","https://www.livelib.ru/book/1003957162","/covers/1003957162.jpg","АСТ","2020","false"
"Атлант расправил плечи","Айн Рэнд","2","4,1","https://www.livelib.ru/book/1001492763","/covers/1001492763.jpg","Альпина Паблишер","2017","false"
"Sapiens. Краткая история человечества","Юваль Ной Харари","3","4,4","https://www.livelib.ru/book/1005587293","/covers/1005587293.jpg","Синдбад","2020","false"
"Финансист","Теодор Драйзер","5","4,4","https://www.livelib.ru/book/1003933861","/covers/1003933861.jpg","АСТ","2020","false"
"Старик и море. Рассказы","Эрнест Хемингуэй","4","4,2","https://www.livelib.ru/book/1000196575","/covers/1000196575.jpg","Азбука-классика","2005","false"
"Два брата","Бен Элтон","5","4,5","https://www.livelib.ru/book/1002034722","/covers/1002034722.jpg","Фантом Пресс","2015","true"
"Танатонавты","Бернар Вербер","4","4,1","https://www.livelib.ru/book/1005437395","/covers/1005437395.jpg","Эксмо","2020","false"
"451° по Фаренгейту","Рэй Брэдбери","5","4,3","https://www.livelib.ru/book/1005499288","/covers/1005499288.jpg","Эксмо","2021","false"
